mhz,phi,theta,gain_total,gain_horiz,gain_vert,gain_rhcp,gain_lhcp
30.000000,89.999999995450708,35.9999999981803,-3.2425827648678611,-2003.2425827648678,-3.2425827648678611,-6.2528827215076728,-6.2528827215076728
30.000000,89.999999995450708,36.999999998129759,-3.0102342768427754,-2003.0102342768428,-3.0102342768427754,-6.0205342334825875,-6.0205342334825875
30.000000,89.999999995450708,37.999999998079211,-2.7850547056206358,-2002.7850547056207,-2.7850547056206358,-5.7953546622604479,-5.7953546622604479
30.000000,89.999999995450708,38.99999999802867,-2.5667604284744745,-2002.5667604284745,-2.5667604284744745,-5.5770603851142866,-5.5770603851142866
30.000000,89.999999995450708,39.999999997978122,-2.3550931723934374,-2002.3550931723935,-2.3550931723934374,-5.3653931290332491,-5.3653931290332491
30.000000,89.999999995450708,40.999999997927581,-2.1498174864865103,-2002.1498174864864,-2.1498174864865103,-5.1601174431263228,-5.1601174431263228
30.000000,89.999999995450708,41.999999997877033,-1.9507185133866456,-2001.9507185133866,-1.9507185133866456,-4.9610184700264579,-4.9610184700264579
30.000000,89.999999995450708,42.999999997826492,-1.7576000176076423,-2001.7576000176077,-1.7576000176076423,-4.7678999742474542,-4.7678999742474542
30.000000,89.999999995450708,43.999999997775944,-1.5702826355829975,-2001.570282635583,-1.5702826355829975,-4.5805825922228092,-4.5805825922228092
30.000000,89.999999995450708,44.999999997725396,-1.3886023176730553,-2001.3886023176731,-1.3886023176730553,-4.3989022743128672,-4.3989022743128672
30.000000,89.999999995450708,45.999999997674855,-1.2124089370062154,-2001.2124089370061,-1.2124089370062154,-4.2227088936460273,-4.2227088936460273
30.000000,89.999999995450708,46.999999997624307,-1.0415650438098734,-2001.0415650438099,-1.0415650438098734,-4.0518650004496859,-4.0518650004496859
30.000000,89.999999995450708,47.999999997573767,-0.87594474703838943,-2000.8759447470384,-0.87594474703838943,-3.8862447036782015,-3.8862447036782015
30.000000,89.999999995450708,48.999999997523219,-0.71543270773595924,-2000.715432707736,-0.71543270773595924,-3.7257326643757711,-3.7257326643757711
30.000000,89.999999995450708,49.999999997472678,-0.55992323077701822,-2000.559923230777,-0.55992323077701822,-3.5702231874168304,-3.5702231874168304
30.000000,89.999999995450708,50.99999999742213,-0.40931944348230337,-2000.4093194434822,-0.40931944348230337,-3.4196194001221154,-3.4196194001221154
30.000000,89.999999995450708,51.999999997371589,-0.26353255117485674,-2000.2635325511749,-0.26353255117485674,-3.2738325078146691,-3.2738325078146691
30.000000,89.999999995450708,52.999999997321041,-0.1224811610678664,-2000.1224811610678,-0.1224811610678664,-3.1327811177076783,-3.1327811177076783
30.000000,89.999999995450708,53.9999999972705,0.013909332995200356,-1999.9860906670049,0.013909332995200356,-2.9963906236446118,-2.9963906236446118
30.000000,89.999999995450708,54.999999997219952,0.14570731146507562,-1999.854292688535,0.14570731146507562,-2.8645926451747363,-2.8645926451747363
30.000000,89.999999995450708,55.999999997169411,0.27297544136892304,-1999.727024558631,0.27297544136892304,-2.7373245152708892,-2.7373245152708892
30.000000,89.999999995450708,56.999999997118863,0.3957711449366183,-1999.6042288550634,0.3957711449366183,-2.614528811703194,-2.614528811703194
30.000000,89.999999995450708,57.999999997068315,0.51414702894883668,-1999.4858529710511,0.51414702894883668,-2.4961529276909755,-2.4961529276909755
30.000000,89.999999995450708,58.999999997017767,0.62815127865962639,-1999.3718487213405,0.62815127865962639,-2.3821486779801857,-2.3821486779801857
30.000000,89.999999995450708,59.999999996967219,0.73782801969144485,-1999.2621719803085,0.73782801969144485,-2.2724719369483672,-2.2724719369483672
30.000000,89.999999995450708,60.999999996916664,0.84321765090638212,-1999.1567823490936,0.84321765090638212,-2.1670823057334299,-2.1670823057334299
30.000000,89.999999995450708,61.999999996866116,0.94435715091389349,-1999.0556428490861,0.94435715091389349,-2.0659428057259186,-2.0659428057259186
